Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Jamón bajo en grasa,2,rebanada,42,42,56,8.1,2.1,0.5,0,0,0,0,0.3,0,3,7.3,0,600,19.5,0,0,0,0,0,0,AOABG
Jamón de pavo,2,rebanada,42,42,54,8,2.1,0.1,0,0,0,0,1.2,0,4.4,7.3,0,418.5,23.6,0,0,0,0,0,0,AOABG
Pechuga de pollo sin piel horneada rebanada,2,rebanada,42,42,41,8.2,0.3,1.6,0,0,0,0,0.5,0,3.7,11,0,479.7,21.5,0,0,0,0,0,0,AOAMBG
Pechuga de pollo ahumada,2,rebanada,42,42,33,6.9,0.1,1.1,0,0,0,0,0.1,0,1,10.9,0,452,15,0,0,0,0,0,0,AOAMBG
Pechuga de pavo ahumada baja en grasa,2,rebanada,42,42,33,6.3,0.2,1.5,0,0,0,0,0.3,0,4,12.2,0,459.6,12.9,0,0,0,0,0,0,AOAMBG
Pechuga de pavo ahumada,1 1/2,rebanada,34,34,32,6.7,0.3,0.5,0,0,0,0,0.5,0,5.3,9.8,0,402.8,15,0,0,0,0,0,0,AOAMBG
Roast beef,2 1/2,rebanada,33,33,36,6.6,0.9,0.5,0,0,0,0,0.6,0,1.9,6.4,0,328.8,15.6,0,0,0,0,0,0,AOAMBG
Pechuga de pavo,1 1/2,rebanada,32,32,35,7.1,0.5,0,0,0,0,0,0.1,0,1.5,9.7,0,451.5,13.5,0,0,0,0,0,0,AOAMBG
Pastel de frutas,1,rebanada,28,28,109,1.3,3.1,20.8,1.3,0,0,0.7,0.6,0,9.1,0,0,75.5,0,0,0,0,12,47,9.776,Cereales con grasa
Queso Monterrey bajo en grasa,1,rebanada,28,28,88,7.9,6,0.2,0,40,0,0,0.2,0,197,0,0,158,18,0,0,0,0,0,0,AOAMG
Queso Muenster bajo en grasa,1,rebanada,28,28,77,6.9,4.9,14.1,0,49,0,0,0.1,0,148,0,0,168,18,0,0,0,0,0,0,AOAMG
Queso Mozzarella reducido en grasa,1,rebanada,28,28,71,6.8,4.5,0.8,0,35.6,0,0,0.1,0,219,0,0,173.3,17.9,0,0,0,0,0,0,AOAMG
Queso suizo muy bajo en grasa,1,rebanada,28,28,50,8,1.4,1,0,11,0,0,0.1,0,26.9,0,0,73,10,0,0,0,0,0,0,AOAMBG
Queso Mozzarella cero grasa,1,rebanada,28,28,39,8.9,0,1,0,36,0,0,0.1,0,26.9,0,0,208,5,0,0,0,0,0,0,AOAMBG
Tocino vegetariano,2,rebanada,20,20,63,2.3,6,1.3,0,0,0,0,0,0,0,0,0,292.5,0,1,1.5,3,0,0,0,Aceites y grasas con proteína
Pepperoni,4,rebanada,15,15,72,2.8,6.7,0.1,0,0,0,0,0,0,0,0,0,274,12.5,2.6,3.3,0.6,0,0,0,Aceites y grasas con proteína
Tocino imitación,1,rebanada,10,10,41,1,3.9,0.1,0,0,0,0,0,0,0,0,0,96.7,6.7,0,0,0,0,0,0,Aceites y grasas
Tocino frito,1,rebanada,7,7,39,0.6,4,0,0,0,0,0,0,0,0,0,0,48,5.7,0,0,0,0,0,0,Aceites y grasas
Caramelo salvavidas,2,pieza pequeña,12,12,47,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,70,8,Azúcares sin grasa
Fresa entera,17,pieza med,204,204,65,1.4,0.6,15.7,4.1,55.1,120,49,0.8,312.1,0,0,0,0,0,0,0,0,10,40,6.28,Frutas
Cuernito, 1/2,pieza med,29,29,115,3.2,6,13,0.7,0,0,37.1,0.6,0,10.5,0,0,133.1,0,0,0,0,3.2,67,8.71,Cereales con grasa
Cuerno, 1/2,pieza med,29,29,98,1,4.8,11.6,0,0,0,37.1,0.6,0,10.5,0,0,133.1,0,0,0,0,3.2,67,7.772,Cereales con grasa
